# Contour Level: -1
# Part: 1
# Number of vertices: 2
# X, Y coordinates

9.500000, 0.615004
9.290251, 0.500000

# Contour Level: -1
# Part: 2
# Number of vertices: 3
# X, Y coordinates

9.500000, 6.786148
8.953821, 6.500000
9.500000, 5.719416

# Contour Level: -1
# Part: 3
# Number of vertices: 2
# X, Y coordinates

8.786489, 9.500000
9.500000, 9.213511

# Contour Level: -1
# Part: 4
# Number of vertices: 10
# X, Y coordinates

0.500000, 3.489084
0.512016, 3.500000
0.593425, 4.500000
1.500000, 5.423475
1.673042, 5.500000
1.558368, 6.500000
1.500000, 6.591612
1.268462, 6.500000
1.366948, 5.500000
0.500000, 4.660269

# Contour Level: -1
# Part: 5
# Number of vertices: 5
# X, Y coordinates

3.129098, 1.500000
2.500000, 2.298290
1.940054, 1.500000
2.500000, 1.053178
3.129098, 1.500000

# Contour Level: -1
# Part: 6
# Number of vertices: 5
# X, Y coordinates

4.978758, 1.500000
4.500000, 1.614410
4.260582, 1.500000
4.500000, 1.153764
4.978758, 1.500000

# Contour Level: -1
# Part: 7
# Number of vertices: 5
# X, Y coordinates

4.671288, 5.500000
4.500000, 5.678295
4.351730, 5.500000
4.500000, 5.314298
4.671288, 5.500000

# Contour Level: -1
# Part: 8
# Number of vertices: 5
# X, Y coordinates

5.986310, 7.500000
5.500000, 7.742671
5.398031, 7.500000
5.500000, 7.198236
5.986310, 7.500000

# Contour Level: -1
# Part: 1
# Number of vertices: 2
# X, Y coordinates

9.500000, 0.615004
9.290251, 0.500000

# Contour Level: -1
# Part: 2
# Number of vertices: 3
# X, Y coordinates

9.500000, 6.786148
8.953821, 6.500000
9.500000, 5.719416

# Contour Level: -1
# Part: 3
# Number of vertices: 2
# X, Y coordinates

8.786489, 9.500000
9.500000, 9.213511

# Contour Level: -1
# Part: 4
# Number of vertices: 10
# X, Y coordinates

0.500000, 3.489084
0.512016, 3.500000
0.593425, 4.500000
1.500000, 5.423475
1.673042, 5.500000
1.558368, 6.500000
1.500000, 6.591612
1.268462, 6.500000
1.366948, 5.500000
0.500000, 4.660269

# Contour Level: -1
# Part: 5
# Number of vertices: 5
# X, Y coordinates

3.129098, 1.500000
2.500000, 2.298290
1.940054, 1.500000
2.500000, 1.053178
3.129098, 1.500000

# Contour Level: -1
# Part: 6
# Number of vertices: 5
# X, Y coordinates

4.978758, 1.500000
4.500000, 1.614410
4.260582, 1.500000
4.500000, 1.153764
4.978758, 1.500000

# Contour Level: -1
# Part: 7
# Number of vertices: 5
# X, Y coordinates

4.671288, 5.500000
4.500000, 5.678295
4.351730, 5.500000
4.500000, 5.314298
4.671288, 5.500000

# Contour Level: -1
# Part: 8
# Number of vertices: 5
# X, Y coordinates

5.986310, 7.500000
5.500000, 7.742671
5.398031, 7.500000
5.500000, 7.198236
5.986310, 7.500000

